id,articleType,image_path
001912_280188340_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\001912_280188340_thumbnail_progressive_thumbnail.jpg
002800_158897544_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\002800_158897544_thumbnail_progressive_thumbnail.jpg
00342aff-ba69-4cf2-ae62-e00680e9547a,Jacket,Clothes_Dataset\00342aff-ba69-4cf2-ae62-e00680e9547a.jpg
00b8048d-635e-4e56-b182-071fb24eea32,Jacket,Clothes_Dataset\00b8048d-635e-4e56-b182-071fb24eea32.jpg
010805_191610748_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\010805_191610748_thumbnail_progressive_thumbnail.jpg
011514_276942301_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\011514_276942301_thumbnail_progressive_thumbnail.jpg
012920_193324310_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\012920_193324310_thumbnail_progressive_thumbnail.jpg
013342_193324615_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\013342_193324615_thumbnail_progressive_thumbnail.jpg
01a54355-b591-45e9-a248-175f483369cf,Jacket,Clothes_Dataset\01a54355-b591-45e9-a248-175f483369cf.jpg
033649_14714308_thumbnail,Jacket,Clothes_Dataset\033649_14714308_thumbnail.jpg
033810_128635474_thumbnail,Jacket,Clothes_Dataset\033810_128635474_thumbnail.jpg
03c6360d-734d-435b-92a8-6788b7b32d78,Jacket,Clothes_Dataset\03c6360d-734d-435b-92a8-6788b7b32d78.jpg
050359_280781454_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\050359_280781454_thumbnail_progressive_thumbnail.jpg
05fe86e8-d7ac-4672-8ebb-fa1181a941bd,Jacket,Clothes_Dataset\05fe86e8-d7ac-4672-8ebb-fa1181a941bd.jpg
065652_188398118_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\065652_188398118_thumbnail_progressive_thumbnail.jpg
083230_186240778_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\083230_186240778_thumbnail_progressive_thumbnail.jpg
083447_186240933_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\083447_186240933_thumbnail_progressive_thumbnail.jpg
085921_119933995_thumbnail,Jacket,Clothes_Dataset\085921_119933995_thumbnail.jpg
091416_93122510_thumbnail,Jacket,Clothes_Dataset\091416_93122510_thumbnail.jpg
094a6288-3fe1-4422-9912-c2f2704fe067,Jacket,Clothes_Dataset\094a6288-3fe1-4422-9912-c2f2704fe067.jpg
095651_136383735_thumbnail,Jacket,Clothes_Dataset\095651_136383735_thumbnail.jpg
095744_136383844_thumbnail,Jacket,Clothes_Dataset\095744_136383844_thumbnail.jpg
100201_253986550_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\100201_253986550_thumbnail_progressive_thumbnail.jpg
101150_127715087_thumbnail,Jacket,Clothes_Dataset\101150_127715087_thumbnail.jpg
102303_203235260_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\102303_203235260_thumbnail_progressive_thumbnail.jpg
103124_193862363_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\103124_193862363_thumbnail_progressive_thumbnail.jpg
111241_203242171_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\111241_203242171_thumbnail_progressive_thumbnail.jpg
111930_151292921_thumbnail,Jacket,Clothes_Dataset\111930_151292921_thumbnail.jpg
112209_69866291_thumbnail,Jacket,Clothes_Dataset\112209_69866291_thumbnail.jpg
113023_222578427_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\113023_222578427_thumbnail_progressive_thumbnail.jpg
113650_192423985_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\113650_192423985_thumbnail_progressive_thumbnail.jpg
113749_192636975_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\113749_192636975_thumbnail_progressive_thumbnail.jpg
114516_57221998_thumbnail,Jacket,Clothes_Dataset\114516_57221998_thumbnail.jpg
114743_74531610_thumbnail,Jacket,Clothes_Dataset\114743_74531610_thumbnail.jpg
115645_172708903_thumbnail,Jacket,Clothes_Dataset\115645_172708903_thumbnail.jpg
120413_287577245_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\120413_287577245_thumbnail_progressive_thumbnail.jpg
121801_256848550_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\121801_256848550_thumbnail_progressive_thumbnail.jpg
123335_153576896_thumbnail,Jacket,Clothes_Dataset\123335_153576896_thumbnail.jpg
123527_110636636_thumbnail,Jacket,Clothes_Dataset\123527_110636636_thumbnail.jpg
124853_139217917_thumbnail,Jacket,Clothes_Dataset\124853_139217917_thumbnail.jpg
12bd3e49-352c-4800-ad09-662e2d49828e,Jacket,Clothes_Dataset\12bd3e49-352c-4800-ad09-662e2d49828e.jpg
134054_192683207_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\134054_192683207_thumbnail_progressive_thumbnail.jpg
134545_212694097_thumbnail_progressive_thumbnail,Jacket,Clothes_Dataset\134545_212694097_thumbnail_progressive_thumbnail.jpg
